Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",93.550000,-69.130000,180.000000,top
"C2","0.1uF","C_0603_1608Metric",93.540000,-70.920000,180.000000,top
"C3","10uF","C_0603_1608Metric",93.370000,-66.080000,180.000000,top
"C4","0.1uF","C_0603_1608Metric",104.960000,-49.300000,90.000000,top
"C5","4.7uF","C_0603_1608Metric",137.080000,-54.790000,0.000000,top
"C6","0.1uF","C_0603_1608Metric",138.015000,-52.240000,0.000000,top
"C7","100nF","C_0603_1608Metric",98.700000,-49.305000,90.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",139.955000,-65.090000,90.000000,top
"Q1","MMBT3904","SOT-23",100.750000,-53.887500,90.000000,top
"Q2","MMBT3904","SOT-23",125.010000,-69.717500,90.000000,top
"R1","5.1K","R_0603_1608Metric",129.845000,-70.910000,180.000000,top
"R2","5.1K","R_0603_1608Metric",132.100000,-59.500000,180.000000,top
"R3","10K","R_0603_1608Metric",100.620000,-58.300000,180.000000,top
"R4","10K","R_0603_1608Metric",107.245000,-70.750000,0.000000,top
"R5","10K","R_0603_1608Metric",101.470000,-50.110000,0.000000,top
"R6","10K","R_0603_1608Metric",127.190000,-66.070000,-90.000000,top
"R8","100R","R_0603_1608Metric",128.630000,-51.820000,180.000000,top
"R9","100R","R_0603_1608Metric",128.450000,-54.860000,180.000000,top
"S1","reset_btn","SW_TS-1187A-B-A-B",95.010000,-53.100000,-90.000000,top
"S2","boot_btn","SW_TS-1187A-B-A-B",95.082500,-61.140000,180.000000,top
"U1","ESP32-WROOM-32E","ESP32-WROOM-32E",116.252500,-53.985000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",99.740000,-68.570000,0.000000,top
"U3","CP2102N-A02-GQFN24","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",133.682500,-51.480000,90.000000,top
